Entity,Year,COâ‚‚ concentration (Scripps)
World,1,276.048
World,2,276.097
World,3,276.149
World,4,276.205
World,5,276.263
World,6,276.325
World,7,276.389
World,8,276.454
World,9,276.522
World,10,276.591
World,11,276.661
World,12,276.731
World,13,276.803
World,14,276.874
World,15,276.945
World,16,277.015
World,17,277.085
World,18,277.153
World,19,277.22
World,20,277.285
World,21,277.348
World,22,277.408
World,23,277.466
World,24,277.52
World,25,277.571
World,26,277.618
World,27,277.661
World,28,277.7
World,29,277.733
World,30,277.762
World,31,277.786
World,32,277.804
World,33,277.818
World,34,277.828
World,35,277.833
World,36,277.835
World,37,277.833
World,38,277.827
World,39,277.819
World,40,277.808
World,41,277.794
World,42,277.778
World,43,277.759
World,44,277.739
World,45,277.717
World,46,277.694
World,47,277.67
World,48,277.645
World,49,277.619
World,50,277.593
World,51,277.567
World,52,277.541
World,53,277.516
World,54,277.491
World,55,277.467
World,56,277.445
World,57,277.424
World,58,277.404
World,59,277.386
World,60,277.369
World,61,277.353
World,62,277.339
World,63,277.325
World,64,277.313
World,65,277.303
World,66,277.293
World,67,277.285
World,68,277.277
World,69,277.271
World,70,277.266
World,71,277.262
World,72,277.259
World,73,277.256
World,74,277.255
World,75,277.255
World,76,277.255
World,77,277.256
World,78,277.258
World,79,277.261
World,80,277.264
World,81,277.268
World,82,277.273
World,83,277.278
World,84,277.284
World,85,277.291
World,86,277.298
World,87,277.306
World,88,277.314
World,89,277.322
World,90,277.331
World,91,277.34
World,92,277.35
World,93,277.36
World,94,277.37
World,95,277.38
World,96,277.391
World,97,277.402
World,98,277.413
World,99,277.424
World,100,277.435
World,101,277.447
World,102,277.458
World,103,277.469
World,104,277.48
World,105,277.491
World,106,277.503
World,107,277.514
World,108,277.525
World,109,277.536
World,110,277.548
World,111,277.56
World,112,277.572
World,113,277.585
World,114,277.599
World,115,277.613
World,116,277.627
World,117,277.643
World,118,277.659
World,119,277.676
World,120,277.694
World,121,277.714
World,122,277.734
World,123,277.756
World,124,277.779
World,125,277.803
World,126,277.828
World,127,277.856
World,128,277.884
World,129,277.915
World,130,277.947
World,131,277.981
World,132,278.016
World,133,278.054
World,134,278.094
World,135,278.136
World,136,278.18
World,137,278.226
World,138,278.274
World,139,278.325
World,140,278.377
World,141,278.43
World,142,278.486
World,143,278.542
World,144,278.6
World,145,278.659
World,146,278.719
World,147,278.78
World,148,278.841
World,149,278.903
World,150,278.965
World,151,279.028
World,152,279.09
World,153,279.153
World,154,279.215
World,155,279.277
World,156,279.338
World,157,279.399
World,158,279.459
World,159,279.518
World,160,279.576
World,161,279.632
World,162,279.688
World,163,279.742
World,164,279.794
World,165,279.844
World,166,279.893
World,167,279.939
World,168,279.983
World,169,280.025
World,170,280.064
World,171,280.101
World,172,280.137
World,173,280.17
World,174,280.201
World,175,280.231
World,176,280.258
World,177,280.285
World,178,280.31
World,179,280.333
World,180,280.356
World,181,280.377
World,182,280.397
World,183,280.417
World,184,280.436
World,185,280.454
World,186,280.471
World,187,280.488
World,188,280.505
World,189,280.522
World,190,280.539
World,191,280.555
World,192,280.572
World,193,280.589
World,194,280.606
World,195,280.624
World,196,280.643
World,197,280.662
World,198,280.682
World,199,280.703
World,200,280.725
World,201,280.748
World,202,280.773
World,203,280.798
World,204,280.825
World,205,280.854
World,206,280.883
World,207,280.913
World,208,280.944
World,209,280.975
World,210,281.007
World,211,281.039
World,212,281.07
World,213,281.102
World,214,281.133
World,215,281.163
World,216,281.193
World,217,281.222
World,218,281.249
World,219,281.276
World,220,281.301
World,221,281.324
World,222,281.346
World,223,281.365
World,224,281.383
World,225,281.398
World,226,281.411
World,227,281.421
World,228,281.428
World,229,281.432
World,230,281.433
World,231,281.432
World,232,281.427
World,233,281.421
World,234,281.411
World,235,281.4
World,236,281.386
World,237,281.37
World,238,281.352
World,239,281.332
World,240,281.31
World,241,281.286
World,242,281.261
World,243,281.234
World,244,281.205
World,245,281.176
World,246,281.145
World,247,281.113
World,248,281.079
World,249,281.045
World,250,281.01
World,251,280.974
World,252,280.938
World,253,280.901
World,254,280.864
World,255,280.826
World,256,280.788
World,257,280.75
World,258,280.712
World,259,280.674
World,260,280.636
World,261,280.599
World,262,280.562
World,263,280.525
World,264,280.489
World,265,280.453
World,266,280.419
World,267,280.385
World,268,280.352
World,269,280.321
World,270,280.29
World,271,280.261
World,272,280.233
World,273,280.207
World,274,280.182
World,275,280.159
World,276,280.138
World,277,280.118
World,278,280.1
World,279,280.083
World,280,280.067
World,281,280.052
World,282,280.038
World,283,280.026
World,284,280.014
World,285,280.002
World,286,279.991
World,287,279.981
World,288,279.971
World,289,279.961
World,290,279.952
World,291,279.942
World,292,279.933
World,293,279.923
World,294,279.913
World,295,279.902
World,296,279.892
World,297,279.88
World,298,279.868
World,299,279.855
World,300,279.841
World,301,279.826
World,302,279.81
World,303,279.792
World,304,279.774
World,305,279.754
World,306,279.733
World,307,279.71
World,308,279.687
World,309,279.662
World,310,279.636
World,311,279.608
World,312,279.58
World,313,279.55
World,314,279.519
World,315,279.487
World,316,279.453
World,317,279.419
World,318,279.383
World,319,279.346
World,320,279.308
World,321,279.268
World,322,279.228
World,323,279.186
World,324,279.143
World,325,279.099
World,326,279.054
World,327,279.008
World,328,278.96
World,329,278.912
World,330,278.862
World,331,278.811
World,332,278.759
World,333,278.707
World,334,278.653
World,335,278.599
World,336,278.544
World,337,278.489
World,338,278.433
World,339,278.377
World,340,278.32
World,341,278.264
World,342,278.207
World,343,278.15
World,344,278.093
World,345,278.037
World,346,277.98
World,347,277.924
World,348,277.868
World,349,277.813
World,350,277.759
World,351,277.705
World,352,277.651
World,353,277.599
World,354,277.547
World,355,277.497
World,356,277.447
World,357,277.399
World,358,277.352
World,359,277.306
World,360,277.262
World,361,277.219
World,362,277.178
World,363,277.138
World,364,277.101
World,365,277.065
World,366,277.031
World,367,276.998
World,368,276.968
World,369,276.94
World,370,276.913
World,371,276.887
World,372,276.864
World,373,276.842
World,374,276.821
World,375,276.803
World,376,276.785
World,377,276.769
World,378,276.755
World,379,276.741
World,380,276.729
World,381,276.719
World,382,276.709
World,383,276.701
World,384,276.694
World,385,276.688
World,386,276.683
World,387,276.679
World,388,276.676
World,389,276.674
World,390,276.673
World,391,276.673
World,392,276.673
World,393,276.675
World,394,276.677
World,395,276.68
World,396,276.683
World,397,276.687
World,398,276.692
World,399,276.697
World,400,276.702
World,401,276.709
World,402,276.715
World,403,276.722
World,404,276.729
World,405,276.737
World,406,276.745
World,407,276.752
World,408,276.761
World,409,276.769
World,410,276.777
World,411,276.786
World,412,276.794
World,413,276.802
World,414,276.81
World,415,276.818
World,416,276.827
World,417,276.834
World,418,276.842
World,419,276.849
World,420,276.856
World,421,276.862
World,422,276.868
World,423,276.874
World,424,276.879
World,425,276.884
World,426,276.888
World,427,276.891
World,428,276.894
World,429,276.896
World,430,276.897
World,431,276.898
World,432,276.898
World,433,276.897
World,434,276.896
World,435,276.895
World,436,276.892
World,437,276.889
World,438,276.886
World,439,276.882
World,440,276.878
World,441,276.873
World,442,276.868
World,443,276.863
World,444,276.857
World,445,276.851
World,446,276.845
World,447,276.838
World,448,276.831
World,449,276.824
World,450,276.817
World,451,276.81
World,452,276.802
World,453,276.794
World,454,276.787
World,455,276.779
World,456,276.771
World,457,276.763
World,458,276.755
World,459,276.747
World,460,276.74
World,461,276.732
World,462,276.724
World,463,276.717
World,464,276.71
World,465,276.702
World,466,276.695
World,467,276.688
World,468,276.681
World,469,276.673
World,470,276.666
World,471,276.659
World,472,276.651
World,473,276.644
World,474,276.636
World,475,276.629
World,476,276.621
World,477,276.613
World,478,276.604
World,479,276.596
World,480,276.587
World,481,276.578
World,482,276.568
World,483,276.559
World,484,276.549
World,485,276.538
World,486,276.528
World,487,276.517
World,488,276.505
World,489,276.493
World,490,276.481
World,491,276.468
World,492,276.455
World,493,276.441
World,494,276.427
World,495,276.412
World,496,276.396
World,497,276.38
World,498,276.363
World,499,276.346
World,500,276.328
World,501,276.309
World,502,276.29
World,503,276.27
World,504,276.25
World,505,276.23
World,506,276.21
World,507,276.189
World,508,276.169
World,509,276.149
World,510,276.129
World,511,276.11
World,512,276.091
World,513,276.072
World,514,276.055
World,515,276.038
World,516,276.022
World,517,276.007
World,518,275.993
World,519,275.981
World,520,275.969
World,521,275.959
World,522,275.951
World,523,275.945
World,524,275.94
World,525,275.937
World,526,275.935
World,527,275.936
World,528,275.94
World,529,275.945
World,530,275.953
World,531,275.963
World,532,275.976
World,533,275.991
World,534,276.01
World,535,276.031
World,536,276.055
World,537,276.082
World,538,276.113
World,539,276.146
World,540,276.182
World,541,276.22
World,542,276.261
World,543,276.303
World,544,276.348
World,545,276.394
World,546,276.441
World,547,276.49
World,548,276.539
World,549,276.589
World,550,276.64
World,551,276.691
World,552,276.741
World,553,276.792
World,554,276.843
World,555,276.892
World,556,276.941
World,557,276.989
World,558,277.036
World,559,277.08
World,560,277.124
World,561,277.165
World,562,277.204
World,563,277.241
World,564,277.276
World,565,277.307
World,566,277.336
World,567,277.361
World,568,277.382
World,569,277.4
World,570,277.415
World,571,277.425
World,572,277.43
World,573,277.431
World,574,277.428
World,575,277.421
World,576,277.411
World,577,277.398
World,578,277.381
World,579,277.362
World,580,277.341
World,581,277.319
World,582,277.295
World,583,277.27
World,584,277.244
World,585,277.217
World,586,277.191
World,587,277.165
World,588,277.14
World,589,277.116
World,590,277.093
World,591,277.072
World,592,277.054
World,593,277.037
World,594,277.024
World,595,277.013
World,596,277.006
World,597,277.003
World,598,277.003
World,599,277.007
World,600,277.013
World,601,277.023
World,602,277.036
World,603,277.053
World,604,277.071
World,605,277.093
World,606,277.117
World,607,277.143
World,608,277.172
World,609,277.203
World,610,277.235
World,611,277.27
World,612,277.307
World,613,277.345
World,614,277.385
World,615,277.426
World,616,277.468
World,617,277.512
World,618,277.556
World,619,277.602
World,620,277.648
World,621,277.695
World,622,277.742
World,623,277.79
World,624,277.838
World,625,277.887
World,626,277.935
World,627,277.983
World,628,278.031
World,629,278.079
World,630,278.126
World,631,278.172
World,632,278.218
World,633,278.263
World,634,278.307
World,635,278.351
World,636,278.393
World,637,278.435
World,638,278.476
World,639,278.516
World,640,278.555
World,641,278.594
World,642,278.632
World,643,278.669
World,644,278.706
World,645,278.742
World,646,278.777
World,647,278.811
World,648,278.845
World,649,278.879
World,650,278.911
World,651,278.943
World,652,278.975
World,653,279.006
World,654,279.036
World,655,279.066
World,656,279.095
World,657,279.124
World,658,279.153
World,659,279.18
World,660,279.208
World,661,279.235
World,662,279.261
World,663,279.287
World,664,279.313
World,665,279.338
World,666,279.363
World,667,279.388
World,668,279.412
World,669,279.436
World,670,279.459
World,671,279.482
World,672,279.505
World,673,279.526
World,674,279.547
World,675,279.567
World,676,279.587
World,677,279.606
World,678,279.623
World,679,279.639
World,680,279.655
World,681,279.669
World,682,279.682
World,683,279.693
World,684,279.704
World,685,279.712
World,686,279.719
World,687,279.725
World,688,279.728
World,689,279.731
World,690,279.731
World,691,279.729
World,692,279.725
World,693,279.719
World,694,279.711
World,695,279.701
World,696,279.689
World,697,279.674
World,698,279.657
World,699,279.637
World,700,279.615
World,701,279.591
World,702,279.565
World,703,279.536
World,704,279.506
World,705,279.474
World,706,279.441
World,707,279.406
World,708,279.37
World,709,279.333
World,710,279.295
World,711,279.257
World,712,279.217
World,713,279.177
World,714,279.137
World,715,279.097
World,716,279.057
World,717,279.017
World,718,278.977
World,719,278.937
World,720,278.898
World,721,278.86
World,722,278.823
World,723,278.787
World,724,278.752
World,725,278.718
World,726,278.686
World,727,278.656
World,728,278.627
World,729,278.6
World,730,278.575
World,731,278.553
World,732,278.532
World,733,278.514
World,734,278.498
World,735,278.483
World,736,278.47
World,737,278.459
World,738,278.449
World,739,278.441
World,740,278.435
World,741,278.429
World,742,278.425
World,743,278.423
World,744,278.421
World,745,278.42
World,746,278.421
World,747,278.422
World,748,278.424
World,749,278.427
World,750,278.43
World,751,278.434
World,752,278.438
World,753,278.443
World,754,278.449
World,755,278.454
World,756,278.459
World,757,278.465
World,758,278.471
World,759,278.476
World,760,278.482
World,761,278.487
World,762,278.492
World,763,278.496
World,764,278.5
World,765,278.503
World,766,278.506
World,767,278.508
World,768,278.51
World,769,278.511
World,770,278.512
World,771,278.512
World,772,278.513
World,773,278.512
World,774,278.512
World,775,278.512
World,776,278.511
World,777,278.51
World,778,278.509
World,779,278.508
World,780,278.507
World,781,278.507
World,782,278.506
World,783,278.505
World,784,278.505
World,785,278.505
World,786,278.505
World,787,278.505
World,788,278.506
World,789,278.508
World,790,278.509
World,791,278.512
World,792,278.514
World,793,278.518
World,794,278.522
World,795,278.526
World,796,278.532
World,797,278.538
World,798,278.545
World,799,278.553
World,800,278.562
World,801,278.571
World,802,278.582
World,803,278.593
World,804,278.605
World,805,278.618
World,806,278.631
World,807,278.645
World,808,278.66
World,809,278.675
World,810,278.691
World,811,278.707
World,812,278.724
World,813,278.741
World,814,278.759
World,815,278.777
World,816,278.795
World,817,278.813
World,818,278.832
World,819,278.851
World,820,278.87
World,821,278.889
World,822,278.908
World,823,278.928
World,824,278.947
World,825,278.966
World,826,278.985
World,827,279.004
World,828,279.023
World,829,279.042
World,830,279.06
World,831,279.079
World,832,279.096
World,833,279.114
World,834,279.131
World,835,279.148
World,836,279.164
World,837,279.18
World,838,279.195
World,839,279.21
World,840,279.224
World,841,279.238
World,842,279.25
World,843,279.263
World,844,279.274
World,845,279.284
World,846,279.294
World,847,279.303
World,848,279.311
World,849,279.318
World,850,279.324
World,851,279.329
World,852,279.333
World,853,279.335
World,854,279.337
World,855,279.337
World,856,279.337
World,857,279.335
World,858,279.331
World,859,279.327
World,860,279.321
World,861,279.314
World,862,279.306
World,863,279.298
World,864,279.288
World,865,279.277
World,866,279.266
World,867,279.254
World,868,279.241
World,869,279.228
World,870,279.214
World,871,279.2
World,872,279.186
World,873,279.171
World,874,279.156
World,875,279.141
World,876,279.126
World,877,279.111
World,878,279.096
World,879,279.081
World,880,279.066
World,881,279.052
World,882,279.038
World,883,279.024
World,884,279.011
World,885,278.999
World,886,278.987
World,887,278.976
World,888,278.965
World,889,278.956
World,890,278.947
World,891,278.94
World,892,278.933
World,893,278.928
World,894,278.923
World,895,278.921
World,896,278.919
World,897,278.919
World,898,278.92
World,899,278.923
World,900,278.927
World,901,278.932
World,902,278.939
World,903,278.947
World,904,278.955
World,905,278.965
World,906,278.975
World,907,278.986
World,908,278.998
World,909,279.01
World,910,279.023
World,911,279.037
World,912,279.05
World,913,279.064
World,914,279.078
World,915,279.091
World,916,279.105
World,917,279.119
World,918,279.132
World,919,279.145
World,920,279.158
World,921,279.17
World,922,279.182
World,923,279.192
World,924,279.202
World,925,279.212
World,926,279.22
World,927,279.227
World,928,279.233
World,929,279.238
World,930,279.241
World,931,279.243
World,932,279.244
World,933,279.243
World,934,279.24
World,935,279.235
World,936,279.229
World,937,279.221
World,938,279.21
World,939,279.198
World,940,279.183
World,941,279.166
World,942,279.147
World,943,279.125
World,944,279.1
World,945,279.073
World,946,279.044
World,947,279.012
World,948,278.979
World,949,278.944
World,950,278.909
World,951,278.872
World,952,278.836
World,953,278.799
World,954,278.763
World,955,278.728
World,956,278.693
World,957,278.66
World,958,278.629
World,959,278.6
World,960,278.574
World,961,278.55
World,962,278.53
World,963,278.513
World,964,278.5
World,965,278.491
World,966,278.487
World,967,278.488
World,968,278.493
World,969,278.505
World,970,278.522
World,971,278.544
World,972,278.572
World,973,278.603
World,974,278.64
World,975,278.68
World,976,278.724
World,977,278.772
World,978,278.823
World,979,278.877
World,980,278.934
World,981,278.994
World,982,279.055
World,983,279.119
World,984,279.184
World,985,279.251
World,986,279.319
World,987,279.387
World,988,279.457
World,989,279.526
World,990,279.596
World,991,279.665
World,992,279.734
World,993,279.802
World,994,279.87
World,995,279.935
World,996,280
World,997,280.062
World,998,280.122
World,999,280.18
World,1000,280.235
World,1001,280.287
World,1002,280.336
World,1003,280.382
World,1004,280.423
World,1005,280.461
World,1006,280.495
World,1007,280.524
World,1008,280.55
World,1009,280.574
World,1010,280.594
World,1011,280.612
World,1012,280.628
World,1013,280.643
World,1014,280.657
World,1015,280.671
World,1016,280.683
World,1017,280.697
World,1018,280.711
World,1019,280.726
World,1020,280.742
World,1021,280.76
World,1022,280.781
World,1023,280.804
World,1024,280.83
World,1025,280.86
World,1026,280.894
World,1027,280.931
World,1028,280.972
World,1029,281.016
World,1030,281.064
World,1031,281.114
World,1032,281.167
World,1033,281.223
World,1034,281.28
World,1035,281.34
World,1036,281.401
