Entity,Year,"Capital city population (UN Urbanization Prospects, 2018)"
Afghanistan,2018,4011770
Albania,2018,475577
Algeria,2018,2693542
American Samoa,2018,48526
Andorra,2018,22614
Angola,2018,7774200
Anguilla,2018,1402
Antigua and Barbuda,2018,20764
Argentina,2018,14966530
Armenia,2018,1080324
Aruba,2018,29877
Australia,2018,447692
Austria,2018,1900547
Azerbaijan,2018,2285729
Bahamas,2018,279668
Bahrain,2018,564631
Bangladesh,2018,19578421
Barbados,2018,89201
Belarus,2018,2004672
Belgium,2018,2049510
Belize,2018,22964
Benin,2018,285328
Bermuda,2018,10073
Bhutan,2018,203297
Bolivia,2018,277910
Bosnia and Herzegovina,2018,342577
Botswana,2018,269338
Brazil,2018,4469585
British Virgin Islands,2018,15137
Brunei,2018,40781
Bulgaria,2018,1272418
Burkina Faso,2018,2531381
Burundi,2018,898968
Cabo Verde,2018,167504
Cambodia,2018,1952329
Cameroon,2018,3655656
Canada,2018,1363159
Cayman Islands,2018,34875
Central African Republic,2018,850946
Chad,2018,1322679
Channel Islands,2018,34386
Chile,2018,6680371
China,2018,19617963
Colombia,2018,10574409
Comoros,2018,62351
Congo,2018,2229693
Cook Islands,2018,13067
Costa Rica,2018,1357745
Cote d'Ivoire,2018,231072
Croatia,2018,685587
Cuba,2018,2136468
Curacao,2018,144037
Cyprus,2018,269469
Czech Republic,2018,1291552
Democratic Republic of Congo,2018,13171256
Denmark,2018,1320826
Djibouti,2018,561564
Dominica,2018,14942
Dominican Republic,2018,3172152
Ecuador,2018,1822397
Egypt,2018,20076002
El Salvador,2018,1106698
Equatorial Guinea,2018,296770
Eritrea,2018,895863
Estonia,2018,437027
Ethiopia,2018,4399674
Faeroe Islands,2018,20817
Falkland Islands,2018,2269
Fiji,2018,178339
Finland,2018,1279096
France,2018,10900952
French Guiana,2018,57506
French Polynesia,2018,136005
Gabon,2018,813489
Gambia,2018,437161
Georgia,2018,1077333
Germany,2018,3552123
Ghana,2018,2439389
Gibraltar,2018,34733
Greece,2018,3155600
Greenland,2018,18406
Grenada,2018,39297
Guadeloupe,2018,58397
Guam,2018,146905
Guatemala,2018,2851104
Guinea,2018,1843121
Guinea-Bissau,2018,558399
Guyana,2018,109934
Haiti,2018,2636763
Honduras,2018,1363041
Hong Kong,2018,7428887
Hungary,2018,1759497
Iceland,2018,216364
India,2018,28513682
Indonesia,2018,10516927
Iran,2018,8895947
Iraq,2018,6811955
Ireland,2018,1201426
Isle of Man,2018,27171
Israel,2018,907062
Italy,2018,4209710
Jamaica,2018,589083
Japan,2018,37468302
Jordan,2018,2064582
Kazakhstan,2018,1068113
Kenya,2018,4385853
Kiribati,2018,64011
Kuwait,2018,2989270
Kyrgyzstan,2018,996319
Laos,2018,664754
Latvia,2018,637089
Lebanon,2018,2385271
Lesotho,2018,201851
Liberia,2018,1418300
Libya,2018,1157746
Liechtenstein,2018,5470
Lithuania,2018,536055
Luxembourg,2018,119752
Macao,2018,632418
Macedonia,2018,584208
Madagascar,2018,3058387
Malawi,2018,1029639
Malaysia,2018,7563912
Maldives,2018,176851
Mali,2018,2446749
Malta,2018,212768
Marshall Islands,2018,30661
Martinique,2018,79361
Mauritania,2018,1205414
Mauritius,2018,149365
Mayotte,2018,6180
Mexico,2018,21580827
Micronesia,2018,6996
Moldova,2018,509707
Monaco,2018,38897
Mongolia,2018,1520381
Montenegro,2018,177177
Montserrat,2018,472
Morocco,2018,1846661
Mozambique,2018,1101771
Myanmar,2018,500218
Namibia,2018,404280
Nauru,2018,11312
Nepal,2018,1329732
Netherlands,2018,1131690
Netherlands Antilles,2018,11313
New Caledonia,2018,197787
New Zealand,2018,411346
Nicaragua,2018,1047923
Niger,2018,1213781
Nigeria,2018,2918518
Niue,2018,727
North Korea,2018,3037862
Northern Mariana Islands,2018,50568
Norway,2018,1012225
Oman,2018,1446563
Pakistan,2018,1061412
Palau,2018,11410
Palestine,2018,275086
Panama,2018,1783490
Papua New Guinea,2018,366862
Paraguay,2018,3222199
Peru,2018,10390607
Philippines,2018,13482468
Poland,2018,1767798
Portugal,2018,2927316
Puerto Rico,2018,2454337
Qatar,2018,633401
Reunion,2018,147209
Romania,2018,1821380
Russia,2018,12409738
Rwanda,2018,1057836
Saint Helena,2018,603
Saint Kitts and Nevis,2018,14434
Saint Lucia,2018,22258
Saint Pierre and Miquelon,2018,5723
Saint Vincent and the Grenadines,2018,26636
Samoa,2018,36066
San Marino,2018,4465
Sao Tome and Principe,2018,80099
Saudi Arabia,2018,6906595
Senegal,2018,2978419
Serbia,2018,1389351
Seychelles,2018,28091
Sierra Leone,2018,1135949
Singapore,2018,5791901
Sint Maarten (Dutch part),2018,40552
Slovakia,2018,429920
Slovenia,2018,286491
Solomon Islands,2018,81801
Somalia,2018,2081624
South Africa,2018,2378350
South Korea,2018,9963497
South Sudan,2018,368914
Spain,2018,6497124
Sri Lanka,2018,599821
Sudan,2018,5534079
Suriname,2018,239457
Swaziland,2018,68010
Sweden,2018,1582968
Switzerland,2018,422153
Syria,2018,2319545
Taiwan,2018,2705791
Tajikistan,2018,872653
Tanzania,2018,261645
Thailand,2018,10156316
Timor,2018,281135
Togo,2018,1745744
Tonga,2018,22904
Trinidad and Tobago,2018,544417
Tunisia,2018,2290777
Turkey,2018,4919074
Turkmenistan,2018,810186
Turks and Caicos Islands,2018,5447
Tuvalu,2018,7042
Uganda,2018,2986352
Ukraine,2018,2956706
United Arab Emirates,2018,1419699
United Kingdom,2018,9046485
United States,2018,5206593
United States Virgin Islands,2018,52322
Uruguay,2018,1736989
Uzbekistan,2018,2463969
Vanuatu,2018,52690
Vatican,2018,801
Venezuela,2018,2934560
Vietnam,2018,4282738
Wallis and Futuna,2018,1025
Western Sahara,2018,232388
Yemen,2018,2779317
Zambia,2018,2523844
Zimbabwe,2018,1515016
