Entity,Year,Government Services,Trade and Transport,Financial Services,Housing and Domestic Services,Total Services
England,1270,1.468091401,4.106505513,71.13698173,84.00821726,37.00515829
England,1271,2.670865079,4.096500897,71.63847485,84.14000391,37.40991507
England,1272,2.670865079,4.20276807,72.14350333,84.2719973,37.51295439
England,1273,2.670865079,4.095135071,72.6520921,84.40419776,37.553549
England,1274,2.75930432,4.09607901,73.16426627,84.5366056,37.65089174
England,1275,2.95387065,4.408868699,73.68005109,84.66922115,37.86948237
England,1276,2.476298749,4.130738184,74.19947204,84.80204474,37.72739497
England,1277,2.140229633,4.264432036,74.72255474,84.9350767,37.74573399
England,1278,2.812367865,4.330047944,75.24932501,85.06831735,38.02601615
England,1279,2.600113686,3.952687791,75.77980884,85.20176702,37.92967503
England,1280,2.387859508,3.98493111,76.68618348,85.75157061,38.12971916
England,1281,2.06947824,4.308613908,77.60339894,86.30492206,38.38732567
England,1282,0.902080259,4.153071738,78.53158489,86.86184426,38.26916977
England,1283,0.795953169,4.110825083,79.47087252,87.42236026,38.48253755
England,1284,0.725201776,4.726515269,80.42139464,87.98649325,38.90042425
England,1285,0.654450384,4.422074061,81.3832856,88.55426657,39.05059179
England,1286,1.132022285,4.070561715,82.35668138,89.12570371,39.34204087
England,1287,1.786472669,4.236583989,83.3417196,89.7008283,39.83644622
England,1288,1.857224062,4.468119266,84.33853951,90.27966415,40.18890397
England,1289,1.57421849,4.588138168,85.34728201,90.86223521,40.41179749
England,1290,2.670865079,4.821299463,86.36808971,91.44856558,41.0552178
England,1291,3.58458208,4.544532931,85.001966,91.40021835,41.15410412
England,1292,4.638870927,4.399385026,83.6574509,91.35189669,41.33173031
England,1293,4.849728696,4.193536833,82.3342026,91.30360058,41.25683867
England,1294,4.428013158,3.897499382,81.03188474,91.25533,40.97968104
England,1295,6.466304928,3.788314304,79.75016623,91.20708494,41.44537055
England,1296,7.590879699,3.725577785,78.48872125,91.15886538,41.67026007
England,1297,9.137170008,4.25620007,77.24722913,91.11067132,42.18765082
England,1298,9.840029239,4.871923264,76.02537426,91.06250274,42.49517557
England,1299,9.769743316,4.288835239,74.82284602,91.01435962,42.23627378
England,1300,9.699457393,5.373296932,73.63933873,90.96624196,42.46675784
England,1301,9.699457393,5.688399268,74.27442148,90.91814973,42.56682524
England,1302,9.840029239,3.997564895,74.91498134,90.87008293,42.11866572
England,1303,8.996598161,5.663717938,75.56106553,90.82204155,42.37943913
England,1304,9.137170008,5.504492278,76.2127217,90.77402556,42.3805165
England,1305,9.137170008,6.994942076,76.86999791,90.72603495,42.82591661
England,1306,7.309736006,6.423963513,77.53294262,90.67806972,42.15704966
England,1307,7.098878237,6.601178703,78.20160472,90.63012985,42.1592608
England,1308,6.536590852,6.176147171,78.87603351,90.58221532,41.88708729
England,1309,5.763445697,6.639128794,79.55627874,90.53432612,41.8164442
England,1310,6.466304928,6.060959637,80.24239056,90.48646224,41.85334131
England,1311,6.677162698,6.474375641,80.93441956,90.43862367,42.04357804
England,1312,6.817734544,6.490789172,81.63241679,90.39081039,42.0981158
England,1313,6.114875313,6.387085631,82.3364337,90.34302238,41.88209486
England,1314,6.606876775,4.626896304,83.04652222,90.29525964,41.51478969
England,1315,6.747448621,5.684091691,83.76273471,90.24752215,41.87505796
England,1316,6.396019005,4.337563621,83.43389682,89.07747634,40.91685271
England,1317,6.396019005,5.188270152,83.10634988,87.92259999,40.7065202
England,1318,5.693159774,5.462335327,82.78008884,86.78269644,40.13671578
England,1319,4.779442773,4.92366056,82.45510864,85.65757158,39.27563526
England,1320,5.482302005,5.827349916,82.13140426,84.54703379,39.29446267
England,1321,5.060586466,5.169842082,81.00812043,83.45089397,38.51412569
England,1322,4.70915685,4.157446008,79.90019938,82.36896543,37.65556769
England,1323,5.130872389,5.460482334,78.807431,81.30106394,37.69745925
England,1324,4.990300543,4.479007236,77.72960805,80.24700763,36.91887849
England,1325,4.217155388,5.07223149,76.66652612,79.20661701,36.43085123
England,1326,3.654868003,4.331327243,77.13528576,79.74841911,36.28535453
England,1327,3.795439849,5.035030765,77.60691151,80.29392733,36.76102757
England,1328,4.217155388,4.214931748,78.08142092,80.84316702,36.87033224
England,1329,4.076583542,5.591672308,78.5588316,81.39616372,37.46779389
England,1330,4.006297619,5.297445401,79.03916129,81.95294311,37.59688348
England,1331,3.37372431,5.666723704,79.52242785,82.51353108,37.76488838
England,1332,3.37372431,6.135363039,80.00864924,83.07795367,38.14032712
England,1333,4.006297619,5.341878908,80.49784351,83.64623712,38.32429909
England,1334,3.795439849,5.901812958,80.99002884,84.21840784,38.67082044
England,1335,4.498299081,5.744522116,81.48522353,84.79449241,39.0640922
England,1336,5.060586466,4.320173984,81.98344596,85.37451761,39.04849608
England,1337,5.974303467,3.285578261,82.48471467,85.95851039,39.24693157
England,1338,7.309736006,4.928263376,82.98904826,86.5464979,40.34928526
England,1339,10.05088701,6.49759584,83.49646549,87.13850746,41.82453443
England,1340,12.72175209,4.606673505,84.0069852,87.73456657,42.26799493
England,1341,14.47890017,4.582072477,84.52062636,88.33470295,43.00472758
England,1342,15.46290309,5.180916675,85.03740807,88.93894448,43.70985505
England,1343,15.67376086,4.154482477,85.55734951,89.54731924,43.72451869
England,1344,15.74404678,4.689712358,86.08047002,90.1598555,44.15921419
England,1345,16.79833563,4.720477818,86.60678902,90.77658174,44.72274818
England,1346,17.78233855,4.851375378,87.13632608,91.39752661,45.29774788
England,1347,18.76634148,5.282281071,87.66910087,92.02271897,45.96242375
England,1348,19.04748517,5.684924482,88.20513319,92.65218787,46.42425217
England,1349,18.48519778,5.022328537,71.81097448,75.4859195,38.76405977
England,1350,16.16576232,5.139108457,58.46389965,61.50015638,32.19591867
England,1351,14.68975794,5.267437621,47.59756552,50.10562579,26.97031887
England,1352,13.70575501,4.273114825,47.48916493,50.02759133,26.36946137
England,1353,13.56518317,3.732638819,47.38101121,49.9496784,26.1372609
England,1354,15.04118755,6.30056597,47.27310381,49.8718868,27.26748422
England,1355,15.32233124,5.182832717,47.16544216,49.79421637,26.98407485
England,1356,14.61947201,4.962584531,47.0580257,49.71666689,26.68878862
England,1357,13.91661278,6.286474478,46.95085388,49.63923819,26.84598773
England,1358,13.63546909,5.929446761,46.84392613,49.56193008,26.62855087
England,1359,13.14346763,5.630130547,46.73724191,49.48474237,26.36917395
England,1360,13.70575501,6.041446588,46.63080065,49.40767487,26.61259686
England,1361,13.3543254,5.15612537,46.52460181,49.33072739,26.22090551
England,1362,13.0731817,6.578027496,46.41864483,49.25389976,26.52491636
England,1363,12.51089432,5.404113064,46.31292916,49.17719177,25.98987447
England,1364,11.87832101,4.57823189,46.20745425,49.10060325,25.53722622
England,1365,10.61317439,6.190524276,46.10221955,49.02413401,25.62229471
England,1366,10.54288847,5.864678225,45.99722452,48.94778386,25.47335004
England,1367,10.47260255,5.98990575,45.89246861,48.87155262,25.45662461
England,1368,9.840029239,4.921355732,45.78795127,48.7954401,24.93309852
England,1369,9.066884084,5.325853248,45.68367197,48.71944612,24.8019566
England,1370,8.645168546,4.570882933,45.57963016,48.64357049,24.42932574
England,1371,8.434310776,5.474232295,45.47582529,48.56781303,24.60153976
England,1372,9.137170008,4.740242206,45.37225683,48.49217355,24.54933209
England,1373,9.348027777,5.175337555,45.26892425,48.41665188,24.70227146
England,1374,10.26174478,4.659567203,45.165827,48.34124782,24.77301804
England,1375,11.31603362,5.087761901,45.06296454,48.2659612,25.15966971
England,1376,11.17546178,4.546966122,44.96033635,48.19079183,24.92866408
England,1377,10.96460401,3.773628573,44.85794189,48.11573952,24.60994388
England,1378,13.00289578,5.319918862,44.47082855,47.73493687,25.46931989
England,1379,13.56518317,3.895558666,44.0870559,47.357148,25.04726339
England,1380,14.68975794,4.39876097,43.70659512,46.98234908,25.34835236
England,1381,15.53318901,4.475787866,43.32941763,46.61051642,25.44731334
England,1382,14.9006157,4.795599528,42.95549509,46.24162656,25.20633918
England,1383,14.68975794,4.129805095,42.58479941,45.87565621,24.79565813
England,1384,14.9006157,5.670558204,42.21730274,45.51258226,25.15055301
England,1385,14.76004386,5.375529953,41.85297748,45.15238179,24.87063315
England,1386,14.97090163,5.087722732,41.49179627,44.79503205,24.6922369
England,1387,15.95490455,5.130941308,41.13373196,44.44051049,24.82804036
England,1388,16.23604824,4.718859671,40.77875766,44.08879472,24.63530039
England,1389,14.97090163,4.797783203,40.42684671,43.73986254,24.15564848
England,1390,14.9006157,5.964593843,40.07797266,43.39369191,24.32973762
England,1391,13.63546909,4.926819951,39.73210931,43.05026098,23.5252714
England,1392,13.63546909,5.349936042,39.38923068,42.70954807,23.50345147
England,1393,14.33832832,5.151620308,39.04931101,42.37153167,23.49707087
England,1394,14.33832832,5.245821281,38.71232477,42.03619043,23.38119837
England,1395,14.2680424,5.502808019,38.37824664,41.70350318,23.29453183
England,1396,14.47890017,5.578029175,38.04705152,41.37344892,23.23428608
England,1397,13.63546909,5.022989268,37.71871454,41.04600682,22.69597279
England,1398,13.0731817,5.41057015,37.39321102,40.72115619,22.51350455
England,1399,13.14346763,5.557300743,37.07051653,40.39887652,22.43829503
England,1400,12.1594647,5.013439287,36.75060681,40.07914748,21.86731435
England,1401,11.80803509,5.009658778,36.68643475,40.03803727,21.74949408
England,1402,12.22975063,6.083583658,36.62237475,39.99696923,22.16344827
England,1403,12.01889286,4.880488131,36.55842661,39.95594332,21.73354423
England,1404,11.59717732,5.619581782,36.49459013,39.91495949,21.81381158
England,1405,12.1594647,4.547459089,36.43086511,39.8740177,21.63831258
England,1406,12.01889286,5.734931259,36.36725138,39.8331179,21.92853668
England,1407,12.1594647,5.316503302,36.30374872,39.79226005,21.82679825
England,1408,12.65146616,5.07893647,36.24035694,39.75144411,21.87624907
England,1409,12.72175209,5.936963005,36.17707586,39.71067004,22.12891477
England,1410,12.22975063,5.804879372,36.11390527,39.66993779,21.93441882
England,1411,12.58118024,4.927989535,36.05084499,39.62924732,21.75734117
England,1412,12.86232393,4.57991318,35.98789482,39.58859859,21.71558988
England,1413,13.00289578,5.632275124,35.92505458,39.54799156,22.04491346
England,1414,13.3543254,4.932314045,35.86232406,39.50742617,21.91973746
England,1415,13.63546909,5.848257558,35.79970308,39.46690239,22.24840267
England,1416,13.49489724,5.197456597,35.73719144,39.42642018,22.00022437
England,1417,13.84632686,5.539970734,35.67478896,39.3859795,22.18055271
England,1418,14.05718463,5.596406662,35.61249544,39.34558029,22.23781074
England,1419,14.33832832,5.653417777,35.5503107,39.30522253,22.31489314
England,1420,14.76004386,5.292892462,35.48823454,39.26490616,22.30892957
England,1421,14.83032978,5.193413536,35.42626678,39.22463114,22.28129575
England,1422,14.97090163,5.595442904,35.36440721,39.18439743,22.42025835
England,1423,14.97090163,7.607456598,35.30265567,39.14420499,22.99169203
England,1424,14.47890017,6.715574197,35.24101195,39.10405378,22.57486465
England,1425,13.56518317,6.920343049,35.17947588,39.06394376,22.3615617
England,1426,12.93260986,6.213646751,35.11804725,39.02387487,21.95976343
England,1427,12.1594647,6.139615626,35.05672589,38.98384709,21.70408411
England,1428,11.17546178,6.191682042,34.9955116,38.94386036,21.42646536
England,1429,9.910315162,6.487849565,34.9344042,38.90391465,21.14184658
England,1430,9.207455931,5.841232456,34.87340351,38.86400991,20.73809716
England,1431,8.715454469,6.229773848,34.74601587,38.74999024,20.66517832
England,1432,9.277741854,5.706137269,34.61909357,38.63630508,20.61967202
England,1433,8.715454469,5.709861895,34.4926349,38.52295345,20.41466401
England,1434,8.29373893,5.594058961,34.36663816,38.40993438,20.21405296
England,1435,8.645168546,5.994388533,34.24110166,38.29724688,20.38080314
England,1436,9.137170008,3.944055543,34.11602374,38.18488999,19.86893275
England,1437,9.066884084,4.857302663,33.99140271,38.07286273,20.06844742
England,1438,8.715454469,6.239099336,33.8672369,37.96116414,20.32685042
England,1439,8.29373893,5.973997035,33.74352465,37.84979325,20.08322623
England,1440,8.574882623,7.989321918,33.62026431,37.7387491,20.70425957
England,1441,8.574882623,6.58585041,33.49745421,37.62803073,20.24519745
England,1442,8.574882623,6.319213362,33.37509273,37.51763719,20.11936897
England,1443,8.29373893,7.612072172,33.25317821,37.40756752,20.3720711
England,1444,8.715454469,7.202211433,33.13170903,37.29782078,20.32237716
England,1445,8.715454469,6.314064262,33.01068357,37.18839602,20.0148773
England,1446,8.856026315,7.010767794,32.89010019,37.07929228,20.21114761
England,1447,8.504596699,6.20841684,32.76995728,36.97050864,19.83089336
England,1448,8.785740392,7.391013764,32.65025324,36.86204414,20.20908317
England,1449,8.574882623,4.677962009,32.53098646,36.75389786,19.30855155
England,1450,9.277741854,5.875277182,32.41215535,36.64606886,19.80914733
England,1451,9.137170008,5.552165745,32.48357905,36.75332762,19.71958894
England,1452,8.856026315,5.107535769,32.55516015,36.86090032,19.55528305
England,1453,8.364024853,5.85514594,32.62689898,36.96878786,19.68152264
England,1454,8.153167084,4.666322706,32.69879589,37.07699118,19.31906197
England,1455,8.012595237,5.239695411,32.77085124,37.1855112,19.49268443
England,1456,8.223453007,6.228286948,32.84306537,37.29434885,19.88627084
England,1457,7.661165622,4.28333273,32.91543863,37.40350504,19.20447683
England,1458,7.450307852,5.776476435,32.98797137,37.51298073,19.62834339
England,1459,6.95830639,5.327749372,33.06066395,37.62277684,19.40483582
England,1460,6.747448621,3.969502421,33.13351671,37.73289431,18.99351329
England,1461,6.185161236,4.94997514,33.20653002,37.84333408,19.16938417
England,1462,5.83373162,5.260217891,33.27970421,37.95409709,19.20791686
England,1463,5.83373162,4.452136997,33.35303965,38.0651843,19.01709208
England,1464,6.255447159,5.24374928,33.4265367,38.17659664,19.41291755
England,1465,5.904017543,3.628538948,33.5001957,38.28833508,18.88769418
England,1466,5.341730158,5.102132507,33.57401702,38.40040056,19.20870955
England,1467,5.060586466,5.948195183,33.64800101,38.51279404,19.42453468
England,1468,4.990300543,5.770239286,33.72214804,38.62551649,19.39936476
England,1469,5.622873851,6.060326298,33.79645845,38.73856886,19.70781766
England,1470,5.83373162,4.884579645,33.87093262,38.85195212,19.46910766
England,1471,5.83373162,4.021678963,34.01865817,38.96566724,19.26631829
England,1472,6.04458939,5.560627853,34.16702802,39.0797152,19.82632596
England,1473,6.255447159,5.17856219,34.31604497,39.19409695,19.82363697
England,1474,7.309736006,6.155461163,34.46571185,39.30881349,20.45490131
England,1475,8.082881161,5.041915152,34.61603149,39.4238658,20.395286
England,1476,8.645168546,5.520412185,34.76700674,39.53925484,20.7433865
England,1477,8.645168546,5.604080794,34.91864045,39.65498162,20.81887838
England,1478,8.645168546,5.642257674,35.0709355,39.77104711,20.88119951
England,1479,8.856026315,8.098473632,35.22389478,39.88745232,21.71106464
England,1480,8.715454469,7.172810982,35.37752118,40.00419823,21.45203054
England,1481,8.785740392,7.899541665,35.53181761,40.12128584,21.73620919
England,1482,9.4183137,7.815115107,35.68678699,40.23871615,21.93996367
England,1483,8.996598161,5.094934049,35.84243225,40.35649017,21.07707965
England,1484,8.715454469,6.461005751,35.99875635,40.4746089,21.4508892
England,1485,7.590879699,5.985760175,36.15576225,40.59307335,21.04973533
England,1486,6.747448621,7.291722971,36.31345292,40.71188453,21.24917457
England,1487,6.677162698,5.286649035,36.47183135,40.83104345,20.69463986
England,1488,7.872023391,6.45246766,36.63090053,40.95055115,21.42276778
England,1489,9.488599623,6.940270511,36.79066347,41.07040862,22.07021461
England,1490,10.05088701,7.408675595,36.95112322,41.19061691,22.4176124
England,1491,10.12117293,6.637555236,37.11228279,41.31117703,22.26454998
England,1492,11.59717732,6.629121103,37.27414525,41.43209001,22.72782462
England,1493,11.94860693,6.897203391,37.43671367,41.5533569,22.95811857
England,1494,12.86232393,7.423610568,37.59999111,41.67497871,23.42135012
England,1495,13.77604093,4.768316078,37.76398067,41.7969565,22.95251817
England,1496,14.47890017,4.658245387,37.92868547,41.91929131,23.17069185
England,1497,16.30633417,7.334576846,38.09410861,42.04198417,24.51960755
England,1498,16.51719194,7.88294757,38.26025323,42.16503615,24.79359224
England,1499,15.81433271,7.014964253,38.42712248,42.28844828,24.39749868
England,1500,14.76004386,8.236308573,38.59471951,42.41222162,24.51556584
England,1501,14.40861424,8.258992813,38.76304751,42.53635724,24.4789521
England,1502,14.33832832,8.539371686,38.93210966,42.66085618,24.59655427
England,1503,13.21375355,8.598071834,39.10190916,42.78571952,24.35484654
England,1504,13.63546909,8.358227495,39.27244923,42.91094832,24.45781503
England,1505,13.84632686,8.538981822,39.4437331,43.03654365,24.62528427
England,1506,13.56518317,8.297133821,39.61576401,43.16250658,24.53165773
England,1507,13.49489724,8.487199711,39.78854521,43.28883819,24.62366032
England,1508,12.08917878,8.677484949,39.96208,43.41553956,24.34283001
England,1509,12.44060839,8.721618815,40.13637164,43.54261177,24.51023545
England,1510,12.51089432,8.702738285,40.31142343,43.6700559,24.58081167
England,1511,12.37032247,8.766789273,40.48723871,43.79787305,24.61695633
England,1512,12.72175209,8.460313001,40.66382079,43.9260643,24.68216099
England,1513,13.49489724,8.539656076,40.84117302,44.05463076,24.9783985
England,1514,14.54918609,8.711120556,41.01929876,44.18357351,25.38034603
England,1515,14.9006157,8.718212392,41.19820138,44.31289367,25.53795749
England,1516,15.46290309,8.78337018,41.37788427,44.44259233,25.7716666
England,1517,16.02519047,8.761388383,41.55835084,44.5726706,25.98002313
England,1518,16.02519047,8.749107498,41.73960449,44.70312959,26.03431903
England,1519,15.74404678,9.060988392,41.92164867,44.83397043,26.10523244
England,1520,15.46290309,8.975393793,42.10448683,44.96519422,26.05986733
England,1521,15.25204532,8.910493296,42.28812241,45.09680209,26.04038224
England,1522,14.9006157,8.659926165,42.47255892,45.22879515,25.92740861
England,1523,17.57148078,8.791715669,42.96631791,45.68924451,26.91045136
England,1524,17.64176671,8.858537927,43.46581703,46.15438145,27.15000002
England,1525,17.36062301,8.786289629,43.97112301,46.62425368,27.25269413
England,1526,16.65776378,8.966730407,44.48230335,47.09890943,27.31370436
England,1527,16.0954764,9.007511519,43.99296328,47.57839739,27.33347207
England,1528,15.11147347,8.934643694,43.50900633,48.06276674,27.20423723
England,1529,14.54918609,8.842587132,43.03037328,48.5520672,27.18931712
England,1530,14.19775647,9.061574348,42.55700557,49.04634895,27.32657998
England,1531,14.33832832,8.839357248,42.08884528,49.54566271,27.47417753
England,1532,14.68975794,9.031020871,41.62583511,50.05005971,27.80412362
England,1533,14.97090163,8.975241059,41.16791842,50.55959169,28.0441283
England,1534,12.30003655,9.354356388,40.71503917,51.07431094,27.58908451
England,1535,12.22975063,9.167303001,40.26714194,51.59427026,27.69689196
England,1536,11.73774916,9.241900139,39.82417193,52.119523,27.76579889
England,1537,11.87832101,9.441420031,39.38607494,52.65012304,28.05029286
England,1538,11.80803509,9.289039567,38.95279736,53.18612483,28.17506082
England,1539,12.37032247,9.75328871,38.52428617,53.72758336,28.65952253
England,1540,12.79203801,9.727914577,38.10048894,54.27455418,28.96357939
England,1541,13.91661278,9.636903829,37.43994018,54.47583195,29.30144064
England,1542,15.46290309,9.908037033,37.13754808,55.19312214,30.07734692
England,1543,15.74404678,9.626731072,36.56975301,55.51326503,30.1735776
England,1544,16.79833563,10.30249362,36.19573245,56.12225632,30.88579869
England,1545,17.9229104,10.54515485,35.38343921,56.03776508,31.2047727
England,1546,18.8366274,10.9989172,34.60408541,55.97719699,31.53729692
England,1547,19.11777109,11.52642521,33.43597696,56.01518918,31.73666541
England,1548,18.55548371,11.62310701,32.74533455,56.81319834,31.88748357
England,1549,18.34462594,11.69291612,31.93210372,57.37667214,32.03294712
England,1550,18.13376817,11.97888515,31.24346424,58.13999948,32.32409142
England,1551,17.99319632,10.79657431,30.61100446,58.99313003,32.24167886
England,1552,16.79833563,9.151376109,29.77022768,59.41745312,31.55487345
England,1553,14.61947201,9.972975569,28.96345147,59.86737378,31.32723364
England,1554,13.77604093,9.738969301,28.21283881,60.39412565,31.19537484
England,1555,12.51089432,9.824399158,27.44743233,60.84958924,31.01115341
England,1556,10.89431809,9.091122674,26.92942148,61.82882152,30.70140806
England,1557,9.137170008,9.530896664,25.94177599,61.68387767,30.24247415
England,1558,9.207455931,10.67045717,24.49246487,60.31321422,30.0065897
England,1559,12.37032247,10.27806906,22.91749027,58.44603483,29.98884032
England,1560,13.21375355,10.59853004,21.97202089,58.03179681,30.11920106
England,1561,13.63546909,9.997416468,21.35995133,58.42574923,30.18767026
England,1562,13.9868987,9.487641173,21.81350899,59.07348332,30.40543411
England,1563,14.61947201,9.486030094,22.24923997,59.65477919,30.82423287
England,1564,15.60347494,9.905486491,22.55346038,59.8695871,31.31759239
England,1565,16.23604824,10.72909741,23.06172865,60.61051175,32.04283371
England,1566,16.58747786,12.38106514,23.47298545,61.07836995,32.82276164
England,1567,16.86862155,12.1453665,23.9690357,61.74939206,33.11194859
England,1568,17.14976525,12.20193567,24.54135995,62.59559395,33.55758451
